,Unnamed: 0,speech,word_count,sentence_count,average_words,average_syl_per_word,flesch_kincaid_score,flesch_kincaid_grade_level,total_gendered_terms,female_gendered_terms,male_gendered_terms,terms_of_equality,terms_for_race,terms_for_religion,political_party,president,time_period,year
138,138,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_012.txt' mode='rt' encoding='cp1252'>,1323,73,18.82191780821918,1.45427059712774,64.69946090765073,8.910940991312813,13,5,8,0,0,2,9.0,clinton,10.0,1994
139,139,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_013.txt' mode='rt' encoding='cp1252'>,7410,400,19.315,1.4936572199730094,60.86687419028343,9.568005195681511,33,6,27,3,5,2,9.0,clinton,10.0,1994
140,140,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_014.txt' mode='rt' encoding='cp1252'>,757,39,20.33333333333333,1.5257595772787318,57.11740642888601,10.343963011889038,0,0,0,0,0,0,9.0,clinton,10.0,1994
141,141,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_015.txt' mode='rt' encoding='cp1252'>,9201,462,20.90909090909091,1.4699489185958048,61.254594214067666,9.909942693975953,43,21,22,4,6,1,9.0,clinton,10.0,1995
142,142,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_016.txt' mode='rt' encoding='cp1252'>,919,57,17.07017543859649,1.3623503808487487,74.25392971002044,7.143102915067868,3,3,0,0,1,3,9.0,clinton,10.0,1995
143,143,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_017.txt' mode='rt' encoding='cp1252'>,6440,281,23.61209964412811,1.6072981366459629,46.891296500961545,12.584836873632323,47,26,21,14,30,2,9.0,clinton,10.0,1995
144,144,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_018.txt' mode='rt' encoding='cp1252'>,4636,217,22.11059907834101,1.5116479723899914,56.50732347129062,10.870579714754896,46,13,33,0,64,2,9.0,clinton,10.0,1995
145,145,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_019.txt' mode='rt' encoding='cp1252'>,2919,156,19.4551282051282,1.5594381637547106,55.159576218146384,10.398870332305588,9,4,5,0,5,1,9.0,clinton,10.0,1995
146,146,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_020.txt' mode='rt' encoding='cp1252'>,3042,154,20.48051948051948,1.4684418145956608,61.81709521247984,9.725016009631396,9,2,7,0,3,5,9.0,clinton,10.0,1995
147,147,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_021.txt' mode='rt' encoding='cp1252'>,6350,357,18.49019607843137,1.5314960629921262,58.502884051258356,9.692830013895321,26,6,20,0,4,4,9.0,clinton,10.0,1996
148,148,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_022.txt' mode='rt' encoding='cp1252'>,1907,100,19.79,1.5474567383324591,55.833309937073956,10.38808951232302,21,17,4,4,0,3,9.0,clinton,10.0,1996
149,149,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_023.txt' mode='rt' encoding='cp1252'>,7048,341,21.357771260997072,1.4599886492622018,61.641822442505685,9.967396853082844,31,18,13,0,6,1,9.0,clinton,10.0,1996
150,150,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_024.txt' mode='rt' encoding='cp1252'>,3188,162,20.456790123456788,1.3870765370138018,68.72468299332374,8.755651284911014,25,3,22,1,3,3,9.0,clinton,10.0,1996
151,151,<_io.TextIOWrapper name='corpus/clinton/clinton_speeches_025.txt' mode='rt' encoding='cp1252'>,17208,1095,16.78630136986302,1.4542654579265455,66.76604636900328,8.116989937779817,150,7,143,0,7,3,9.0,clinton,10.0,1996
